# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here
#
#
EkectroniclBreakbeatlJungle|Electronic;Breakbeat;Jungle
Electronic\; Abstract; Experimental; Tribal|Electronic;Abstract;Experimental;Tribal
Electronic; Abstract; Experimental; Tribal|Electronic;Abstract;Experimental;Tribal
Electronic: Ambient|Electronic;Ambient
Electronic\; Ambient|Electronic;Ambient
Electronic; Ambient|Electronic;Ambient
Electronic\;Ambient|Electronic;Ambient
Electronic;Ambient|Electronic;Ambient
Electronic, Ambient|Electronic;Ambient
Electronic\;Ambient;Electro;Synth-pop|Electronic;Ambient;Electro;Synth-pop
Electronic;Ambient;Electro;Synth-pop|Electronic;Ambient;Electro;Synth-pop
Electronic\;Ambient;Experimental|Electronic;Ambient;Experimental
Electronic;Ambient;Experimental|Electronic;Ambient;Experimental
Electronic\; Ambient; Experimental|Electronic;Ambient;Experimental
Electronic; Ambient; Experimental|Electronic;Ambient;Experimental
Electronic\;Ambient;Regenerative Synthesis|Electronic;Ambient;Regenerative Synthesis
Electronic;Ambient;Regenerative Synthesis|Electronic;Ambient;Regenerative Synthesis
Electronic Anarchy|Electronic Anarchy
Electronic And Electronica|Electronic;Electronica
Electronic : Breakbeat, Big Beat|Electronic;Breakbeat;Big Beat
Electronic : Breakbeat, Techno, Big Beat|Electronic;Breakbeat;Techno;Big Beat
Electronic\; Breakbeat; Techno; IDM|Electronic;Breakbeat;Techno;IDM
Electronic; Breakbeat; Techno; IDM|Electronic;Breakbeat;Techno;IDM
Electronic\;Classical;Modern Classical|Electronic;Classical;Modern Classical
Electronic;Classical;Modern Classical|Electronic;Classical;Modern Classical
Electronic\; Dub; Electro; Reggae; Industrial; Experimental;|Electronic;Dub;Electro;Reggae;Industrial;Experimental
Electronic; Dub; Electro; Reggae; Industrial; Experimental;|Electronic;Dub;Electro;Reggae;Industrial;Experimental
Electronic\; Dub; Electro; Reggae; Industrial; Experimental|Electronic;Dub;Electro;Reggae;Industrial;Experimental
Electronic; Dub; Electro; Reggae; Industrial; Experimental|Electronic;Dub;Electro;Reggae;Industrial;Experimental
Electronic\;Electro;Synth-pop|Electronic;Electro;Synth-pop
Electronic;Electro;Synth-pop|Electronic;Electro;Synth-pop
Electronic/Electronic|Electronic
Electronic\; Electronica; Dance; Big Beat|Electronic;Electronica;Dance;Big Beat
Electronic; Electronica; Dance; Big Beat|Electronic;Electronica;Dance;Big Beat
Electronic\; Experimental|Electronic;Experimental
Electronic; Experimental|Electronic;Experimental
Electronic\;Experimental|Electronic;Experimental
Electronic;Experimental|Electronic;Experimental
Electronic - Experimental|Electronic;Experimental
Electronic\;Hip Hop;Breakbeat;Breaks;Electro;Big Beat|Electronic;Hip Hop;Breakbeat;Breaks;Electro;Big Beat
Electronic;Hip Hop;Breakbeat;Breaks;Electro;Big Beat|Electronic;Hip Hop;Breakbeat;Breaks;Electro;Big Beat
Electronic House|Electronic;House
Electronic, House, Remix|Electronic;House;Remix
Electronic: IDM|Electronic;IDM
Electronic\; IDM; Dance; House; Electro|Electronic;IDM;Dance;House;Electro
Electronic; IDM; Dance; House; Electro|Electronic;IDM;Dance;House;Electro
Electronic Industrial Funk|Electronic;Industrial;Funk
Electronic\; Jazz|Electronic;Jazz
Electronic; Jazz|Electronic;Jazz
Electronic\; Jazz; Dubstep; Future Jazz|Electronic;Jazz;Dubstep;Future Jazz
Electronic; Jazz; Dubstep; Future Jazz|Electronic;Jazz;Dubstep;Future Jazz
Electronic\; New Age; Ambient|Electronic;New Age;Ambient
Electronic; New Age; Ambient|Electronic;New Age;Ambient
Electronic\;Non-Music;Stage & Screen;Soundtrack;Dialogue;Abstract;Synth-pop;Ambient|Electronic;Non-Music;Stage & Screen;Soundtrack;Dialogue;Abstract;Synth-pop;Ambient
Electronic;Non-Music;Stage & Screen;Soundtrack;Dialogue;Abstract;Synth-pop;Ambient|Electronic;Non-Music;Stage & Screen;Soundtrack;Dialogue;Abstract;Synth-pop;Ambient
Electronic Pop|Electronic;Pop;Synth-pop
Electronic, Pop : Synth-pop|Electronic;Pop;Synth-pop
Electronic\;Power Electronics;Noise;Ambient;Industrial|Electronic;Power Electronics;Noise;Ambient;Industrial
Electronic;Power Electronics;Noise;Ambient;Industrial|Electronic;Power Electronics;Noise;Ambient;Industrial
Electronic\;Roc;Prog Rock;Art Rock;Progressive Rock;Indie Rock|Electronic;Roc;Prog Rock;Art Rock;Progressive Rock;Indie Rock
Electronic;Roc;Prog Rock;Art Rock;Progressive Rock;Indie Rock|Electronic;Roc;Prog Rock;Art Rock;Progressive Rock;Indie Rock
Electronic\;Rock;Funk / Soul;Pop Rock;Funk;BritPop|Electronic;Rock;Funk / Soul;Pop Rock;Funk;Brit-pop;Britpop
Electronic;Rock;Funk / Soul;Pop Rock;Funk;BritPop|Electronic;Rock;Funk / Soul;Pop Rock;Funk;Brit-pop;Britpop
Electronic\;Rock;Funk / Soul;Pop Rock;Funk;BritPop;|Electronic;Rock;Funk / Soul;Pop Rock;Funk;Brit-pop;Britpop
Electronic;Rock;Funk / Soul;Pop Rock;Funk;BritPop;|Electronic;Rock;Funk / Soul;Pop Rock;Funk;Brit-pop;Britpop
Electronic\;Rock;Indie Rock|Electronic;Rock;Indie Rock
